player_id,player_name,club,Nation,Pos,dob,age,market_value_eur,MatchesPlayed,Gls,Ast,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK
395516.0,moussa diaby,al ittihad,fr FRA,MF,1999-07-07,26.0,30000000.0,22.1,5,14,38,15,0.0,0.0,0.0,0.0,10,0.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
225161.0,ruben neves,al hilal,pt POR,MF,1997-03-13,28.0,25000000.0,24.8,1,8,26,8,0.0,0.0,0.0,0.0,27,0.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
251664.0,ivan toney,al ahli,eng ENG,FW,1996-03-16,29.0,25000000.0,28.1,23,4,114,55,0.0,0.0,0.0,0.0,12,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
454121.0,galeno,al ahli,br BRA,MF,1997-10-22,28.0,24000000.0,10.5,3,2,19,8,0.0,0.0,0.0,0.0,7,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
666234.0,mohamed simakan,al nassr,fr FRA,DF,2000-05-03,25.0,23000000.0,24.2,1,1,16,5,0.0,0.0,0.0,0.0,33,0.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
323704.0,malcom,al hilal,br BRA,MF,1997-02-26,28.0,22000000.0,29.0,9,10,57,24,0.0,0.0,0.0,0.0,6,0.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
668267.0,marcos leonardo,al hilal,br BRA,"FW,MF",2003-05-02,22.0,18000000.0,19.3,17,2,70,28,0.0,0.0,0.0,0.0,2,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
524481.0,roger ibanez,al ahli,br BRA,DF,1998-11-23,26.0,17000000.0,31.0,5,1,23,8,0.0,0.0,0.0,0.0,51,0.0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
266302.0,sergej milinkovic-savic,al hilal,rs SRB,MF,1995-02-27,30.0,17000000.0,30.2,12,6,79,32,0.0,0.0,0.0,0.0,28,0.0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
225693.0,fabinho,al ittihad,br BRA,MF,1993-10-23,31.0,15000000.0,31.8,2,1,15,6,0.0,0.0,0.0,0.0,44,0.0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
182712.0,joao cancelo,al hilal,pt POR,DF,1994-05-27,31.0,15000000.0,20.1,0,5,23,8,0.0,0.0,0.0,0.0,39,0.0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
231289.0,otavio,al nassr,pt POR,MF,1995-02-09,30.0,15000000.0,24.1,1,5,20,4,0.0,0.0,0.0,0.0,37,0.0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
294808.0,franck kessie,al ahli,ci CIV,MF,1996-12-19,28.0,14000000.0,28.8,2,4,43,14,0.0,0.0,0.0,0.0,28,0.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
